model,test_auc,accuracy,precision,recall,f1_score,cv_auc_mean,cv_auc_std
RBF Kernel SVM,0.9955555555555555,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9822916666666666,0.017955115935899907
MLP Classifier,0.9877777777777778,0.95,0.9354838709677419,0.9666666666666667,0.9508196721311475,0.970486111111111,0.013758064413999226
Linear SVM,0.9855555555555555,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9701388888888889,0.011165232771398302
Logistic Regression,0.98,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9711805555555555,0.011907241805196034
Random Forest,0.9733333333333333,0.9166666666666666,0.9032258064516129,0.9333333333333333,0.9180327868852459,0.974826388888889,0.007917884896521793
